vote_2020,vote_intention,registration,age,gender,education,state,household_income,agegroup,race
Joe Biden,"Yes, I will vote",Registered,38,Female,"College Degree (such as B.A., B.S.)",IL,"$95,000 to $99,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,36,Female,Completed some high school,SC,"$20,000 to $24,999",35 to 50,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,27,Female,Masters degree,NC,"$100,000 to $124,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,22,Female,"Completed some college, but no degree",CA,"Less than $14,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,71,Male,"Completed some college, but no degree",PA,"$200,000 to $249,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,65,Male,"Completed some college, but no degree",NY,"$50,000 to $54,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,60,Female,"Completed some college, but no degree",PA,"$30,000 to $34,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,56,Female,"Completed some college, but no degree",MO,"$45,000 to $49,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,49,Female,"College Degree (such as B.A., B.S.)",TX,"$175,000 to $199,999",35 to 50,White
Joe Biden,Not sure,Registered,60,Male,Completed some high school,OH,"$50,000 to $54,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,67,Female,"Completed some college, but no degree",OR,"Less than $14,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,48,Male,"College Degree (such as B.A., B.S.)",CA,"$125,000 to $149,999",35 to 50,Chinese
Donald Trump,"Yes, I will vote",Registered,40,Male,Middle School - Grades 4 - 8,SD,"$40,000 to $44,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,68,Male,"Completed some college, but no degree",CA,"$35,000 to $39,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,73,Female,"Completed some college, but no degree",GA,"$25,000 to $29,999",65 to 80,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,49,Male,"College Degree (such as B.A., B.S.)",TX,"$25,000 to $29,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,72,Male,"College Degree (such as B.A., B.S.)",MI,"$95,000 to $99,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,42,Male,"Completed some college, but no degree",MD,"$175,000 to $199,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,49,Male,"Completed some college, but no degree",LA,"$55,000 to $59,999",35 to 50,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,59,Female,"Completed some college, but no degree",NJ,"$35,000 to $39,999",50 to 65,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,39,Male,"Completed some college, but no degree",UT,"Less than $14,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,25,Male,Completed some high school,CA,"Less than $14,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,57,Male,High school graduate,CA,"$30,000 to $34,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,46,Male,High school graduate,TN,"$100,000 to $124,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,62,Male,High school graduate,KY,"$55,000 to $59,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,33,Female,"Completed some college, but no degree",CA,"$45,000 to $49,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,53,Male,"Completed some college, but no degree",TX,"$100,000 to $124,999",50 to 65,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,44,Male,High school graduate,IL,"$50,000 to $54,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,38,Male,Masters degree,NY,"$200,000 to $249,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,66,Male,"Completed some college, but no degree",NV,"$45,000 to $49,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,46,Male,"Completed some college, but no degree",ID,"Less than $14,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,35,Male,"College Degree (such as B.A., B.S.)",GA,"$80,000 to $84,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,35,Female,Completed some high school,GA,"$70,000 to $74,999",21 to 35,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,53,Male,"Completed some college, but no degree",CO,"$40,000 to $44,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,52,Female,Completed some high school,OR,"$30,000 to $34,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,65,Female,Associate Degree,WA,"$85,000 to $89,999",50 to 65,American Indian or Alaska Native
Joe Biden,"Yes, I will vote",Registered,74,Male,"Completed some college, but no degree",ID,"$75,000 to $79,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,45,Male,Masters degree,CA,"$250,000 and above",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,24,Female,Completed some high school,NY,"$75,000 to $79,999",21 to 35,Other race
Joe Biden,"Yes, I will vote",Registered,61,Male,High school graduate,MI,"$20,000 to $24,999",50 to 65,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,49,Male,"College Degree (such as B.A., B.S.)",FL,"$100,000 to $124,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,29,Male,Associate Degree,CO,"$30,000 to $34,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,30,Male,Completed some high school,LA,"Less than $14,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,36,Female,"Completed some college, but no degree",TX,"$30,000 to $34,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,20,Male,"Completed some college, but no degree",FL,"$40,000 to $44,999",20 or less,White
Joe Biden,"Yes, I will vote",Registered,38,Female,Masters degree,AZ,"$150,000 to $174,999",35 to 50,other asian or pacific islander
Joe Biden,"Yes, I will vote",Registered,39,Male,"Completed some college, but no degree",WA,"$70,000 to $74,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,29,Male,"College Degree (such as B.A., B.S.)",NY,"$100,000 to $124,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,55,Male,Masters degree,FL,"$45,000 to $49,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,18,Female,Completed some high school,MS,"Less than $14,999",20 or less,White
Joe Biden,Not sure,Registered,52,Female,High school graduate,NC,"$50,000 to $54,999",50 to 65,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,49,Female,High school graduate,TX,"$15,000 to $19,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,57,Female,High school graduate,VA,"$15,000 to $19,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,22,Female,"Completed some college, but no degree",WI,"Less than $14,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,57,Male,High school graduate,NC,"$45,000 to $49,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,62,Female,"Completed some college, but no degree",TX,"$45,000 to $49,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,31,Female,High school graduate,NC,"$35,000 to $39,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,76,Female,Associate Degree,OH,"$25,000 to $29,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,27,Male,"Completed some college, but no degree",UT,"$35,000 to $39,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,27,Female,High school graduate,TX,"Less than $14,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,66,Female,Masters degree,CA,"$100,000 to $124,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,40,Male,"Completed some college, but no degree",TX,"$50,000 to $54,999",35 to 50,Other race
Joe Biden,"Yes, I will vote",Registered,43,Male,"College Degree (such as B.A., B.S.)",SC,"$45,000 to $49,999",35 to 50,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,34,Male,High school graduate,IA,"$85,000 to $89,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,75,Male,"Completed some college, but no degree",FL,"$55,000 to $59,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,65,Male,High school graduate,PA,"$45,000 to $49,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,40,Female,"College Degree (such as B.A., B.S.)",LA,"$15,000 to $19,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,39,Male,"Completed some college, but no degree",CA,"$35,000 to $39,999",35 to 50,Other race
Donald Trump,"Yes, I will vote",Registered,57,Female,High school graduate,MN,"$80,000 to $84,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,49,Male,"Completed some college, but no degree",KY,"Less than $14,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,47,Male,Masters degree,MA,"Less than $14,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,56,Male,"College Degree (such as B.A., B.S.)",TX,"$40,000 to $44,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,51,Male,"College Degree (such as B.A., B.S.)",PA,"$150,000 to $174,999",50 to 65,Other race
Joe Biden,"Yes, I will vote",Registered,39,Male,"College Degree (such as B.A., B.S.)",SC,"$30,000 to $34,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,40,Male,"College Degree (such as B.A., B.S.)",NY,"$200,000 to $249,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,40,Male,Masters degree,WA,"$125,000 to $149,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,69,Male,Completed some high school,NY,"$15,000 to $19,999",65 to 80,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,67,Male,"College Degree (such as B.A., B.S.)",CT,"$85,000 to $89,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,63,Male,"Completed some college, but no degree",IL,"$150,000 to $174,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,73,Male,"College Degree (such as B.A., B.S.)",VA,"$100,000 to $124,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,59,Male,Masters degree,OH,"$175,000 to $199,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,48,Female,Masters degree,MD,"$40,000 to $44,999",35 to 50,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,42,Male,Masters degree,TX,"$200,000 to $249,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,50,Male,"Completed some college, but no degree",AZ,"$100,000 to $124,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,53,Male,"Completed some college, but no degree",PA,"$75,000 to $79,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,30,Male,"College Degree (such as B.A., B.S.)",TN,"$100,000 to $124,999",21 to 35,Other race
Joe Biden,"Yes, I will vote",Registered,36,Male,Completed some high school,NY,"$45,000 to $49,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,58,Female,High school graduate,WV,"$20,000 to $24,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,25,Male,Associate Degree,OH,"$100,000 to $124,999",21 to 35,Other race
Joe Biden,"Yes, I will vote",Registered,64,Female,"Completed some college, but no degree",NC,"$40,000 to $44,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,67,Female,"Completed some college, but no degree",PA,"$35,000 to $39,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,47,Female,"Completed some college, but no degree",MI,"Less than $14,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,37,Female,Doctorate degree,NC,"$90,000 to $94,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,40,Female,Masters degree,TN,"$100,000 to $124,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,37,Male,Masters degree,FL,"$175,000 to $199,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,74,Female,High school graduate,PA,"$35,000 to $39,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,46,Male,"College Degree (such as B.A., B.S.)",OH,"$100,000 to $124,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,58,Female,"College Degree (such as B.A., B.S.)",FL,"$60,000 to $64,999",50 to 65,White
Donald Trump,Not sure,Registered,33,Female,Completed some high school,KS,"$15,000 to $19,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,69,Female,"Completed some college, but no degree",MO,"$15,000 to $19,999",65 to 80,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,72,Male,Associate Degree,MI,"$20,000 to $24,999",65 to 80,other asian or pacific islander
Donald Trump,"Yes, I will vote",Registered,38,Male,Masters degree,NY,"$175,000 to $199,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,41,Male,Masters degree,TX,"$150,000 to $174,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,42,Male,Masters degree,NY,"$150,000 to $174,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,60,Female,High school graduate,IL,"Less than $14,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,57,Female,"College Degree (such as B.A., B.S.)",NY,"$200,000 to $249,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,27,Female,"Completed some college, but no degree",OH,"Less than $14,999",21 to 35,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,57,Female,"College Degree (such as B.A., B.S.)",AL,"$125,000 to $149,999",50 to 65,Other race
Donald Trump,"Yes, I will vote",Registered,37,Female,"College Degree (such as B.A., B.S.)",MD,"$35,000 to $39,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,38,Male,Masters degree,KS,"$150,000 to $174,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,42,Male,Masters degree,VA,"$250,000 and above",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,77,Male,"Completed some college, but no degree",NJ,"$90,000 to $94,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,65,Female,"College Degree (such as B.A., B.S.)",CA,"$95,000 to $99,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,40,Male,Masters degree,NY,"$250,000 and above",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,78,Female,"College Degree (such as B.A., B.S.)",NJ,"$20,000 to $24,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,39,Male,"College Degree (such as B.A., B.S.)",CT,"$150,000 to $174,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,39,Male,Masters degree,NY,"$150,000 to $174,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,30,Female,High school graduate,TN,"$50,000 to $54,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,43,Male,Masters degree,CA,"$150,000 to $174,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,67,Female,"College Degree (such as B.A., B.S.)",FL,"$100,000 to $124,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,83,Female,High school graduate,NJ,"$50,000 to $54,999",above 80,White
Donald Trump,"Yes, I will vote",Registered,46,Male,High school graduate,CA,"$25,000 to $29,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,30,Female,"College Degree (such as B.A., B.S.)",NH,"$35,000 to $39,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,68,Female,"College Degree (such as B.A., B.S.)",PA,"$55,000 to $59,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,41,Male,"College Degree (such as B.A., B.S.)",CA,"$50,000 to $54,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,68,Female,Associate Degree,NY,"$15,000 to $19,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,68,Male,Masters degree,PA,"$150,000 to $174,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,19,Female,High school graduate,CA,"$45,000 to $49,999",20 or less,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,64,Male,"Completed some college, but no degree",PA,"$150,000 to $174,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,56,Female,High school graduate,MO,"$40,000 to $44,999",50 to 65,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,51,Male,Masters degree,NY,"$95,000 to $99,999",50 to 65,Other race
Joe Biden,"Yes, I will vote",Registered,29,Female,Associate Degree,OH,"$75,000 to $79,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,30,Male,Completed some high school,MO,"Less than $14,999",21 to 35,White
Donald Trump,Not sure,Registered,60,Female,High school graduate,OH,"Less than $14,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,42,Male,Masters degree,NY,"$125,000 to $149,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,46,Male,"Completed some college, but no degree",OH,"$75,000 to $79,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,57,Male,"College Degree (such as B.A., B.S.)",MA,"$150,000 to $174,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,46,Female,"College Degree (such as B.A., B.S.)",TX,"$55,000 to $59,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,39,Male,Masters degree,IL,"$250,000 and above",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,31,Male,"College Degree (such as B.A., B.S.)",MD,"$90,000 to $94,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,28,Male,"College Degree (such as B.A., B.S.)",FL,"$25,000 to $29,999",21 to 35,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,79,Female,High school graduate,OH,"$30,000 to $34,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,57,Female,"College Degree (such as B.A., B.S.)",NY,"$65,000 to $69,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,36,Male,"College Degree (such as B.A., B.S.)",MI,"$125,000 to $149,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,68,Male,"Completed some college, but no degree",NC,"$100,000 to $124,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,57,Female,Associate Degree,NY,"$60,000 to $64,999",50 to 65,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,25,Male,High school graduate,GA,"$25,000 to $29,999",21 to 35,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,51,Male,"College Degree (such as B.A., B.S.)",AZ,"$100,000 to $124,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,58,Male,Associate Degree,GA,"$70,000 to $74,999",50 to 65,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,63,Male,"Completed some college, but no degree",OH,"$15,000 to $19,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,24,Male,"College Degree (such as B.A., B.S.)",NY,"$75,000 to $79,999",21 to 35,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,43,Male,Masters degree,NY,"$175,000 to $199,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,73,Male,Doctorate degree,AL,"$250,000 and above",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,54,Male,Masters degree,GA,"$15,000 to $19,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,60,Male,"Completed some college, but no degree",WI,"$70,000 to $74,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,63,Male,Associate Degree,NY,"$15,000 to $19,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,40,Male,"Completed some college, but no degree",IL,"$95,000 to $99,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,49,Male,Masters degree,FL,"$150,000 to $174,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,21,Male,High school graduate,FL,"$50,000 to $54,999",21 to 35,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,60,Male,"Completed some college, but no degree",MO,"$40,000 to $44,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,71,Male,High school graduate,OH,"$65,000 to $69,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,33,Male,High school graduate,PA,"$30,000 to $34,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,59,Male,High school graduate,AZ,"$20,000 to $24,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,83,Male,"Completed some college, but no degree",NJ,"$70,000 to $74,999",above 80,White
Joe Biden,"Yes, I will vote",Registered,64,Male,"College Degree (such as B.A., B.S.)",FL,"$100,000 to $124,999",50 to 65,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,48,Male,"College Degree (such as B.A., B.S.)",MI,"$80,000 to $84,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,45,Male,"College Degree (such as B.A., B.S.)",NC,"$125,000 to $149,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,56,Male,"College Degree (such as B.A., B.S.)",WI,"$85,000 to $89,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,68,Male,"Completed some college, but no degree",FL,"$65,000 to $69,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,37,Male,"Completed some college, but no degree",GA,"$50,000 to $54,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,35,Male,Doctorate degree,TX,"$250,000 and above",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,66,Female,Associate Degree,IN,"$25,000 to $29,999",65 to 80,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,45,Male,High school graduate,WI,"$60,000 to $64,999",35 to 50,Other race
Donald Trump,"Yes, I will vote",Registered,61,Male,High school graduate,AZ,"$30,000 to $34,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,72,Female,"College Degree (such as B.A., B.S.)",IA,"$40,000 to $44,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,55,Male,"College Degree (such as B.A., B.S.)",NH,"$200,000 to $249,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,20,Male,"Completed some college, but no degree",CO,"$55,000 to $59,999",20 or less,White
Donald Trump,"Yes, I will vote",Registered,46,Male,Associate Degree,IN,"$15,000 to $19,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,64,Female,Associate Degree,KY,"$250,000 and above",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,38,Female,"College Degree (such as B.A., B.S.)",MI,"$95,000 to $99,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,68,Female,"College Degree (such as B.A., B.S.)",NJ,"$70,000 to $74,999",65 to 80,Chinese
Joe Biden,"Yes, I will vote",Registered,64,Male,"Completed some college, but no degree",CA,"$85,000 to $89,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,37,Male,Completed some high school,TX,"$15,000 to $19,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,59,Male,"College Degree (such as B.A., B.S.)",NY,"$100,000 to $124,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,63,Female,Masters degree,MN,"$80,000 to $84,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,77,Female,Associate Degree,LA,"$15,000 to $19,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,59,Female,Masters degree,GA,"$125,000 to $149,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,50,Male,"College Degree (such as B.A., B.S.)",IL,"$100,000 to $124,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,64,Male,"College Degree (such as B.A., B.S.)",FL,"$125,000 to $149,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,23,Male,"Completed some college, but no degree",CA,"$55,000 to $59,999",21 to 35,Other race
Joe Biden,"Yes, I will vote",Registered,43,Male,"College Degree (such as B.A., B.S.)",CA,"$35,000 to $39,999",35 to 50,Chinese
Donald Trump,"Yes, I will vote",Registered,41,Male,Masters degree,CA,"$150,000 to $174,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,57,Female,"College Degree (such as B.A., B.S.)",CA,"$95,000 to $99,999",50 to 65,Japanese
Joe Biden,"Yes, I will vote",Registered,20,Male,"Completed some college, but no degree",NY,"Less than $14,999",20 or less,other asian or pacific islander
Donald Trump,"Yes, I will vote",Registered,40,Male,"College Degree (such as B.A., B.S.)",GA,"$100,000 to $124,999",35 to 50,other asian or pacific islander
Joe Biden,"Yes, I will vote",Registered,42,Female,"College Degree (such as B.A., B.S.)",WA,"$30,000 to $34,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,41,Male,Doctorate degree,CA,"$175,000 to $199,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,32,Female,High school graduate,AL,"Less than $14,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,26,Female,Completed some high school,NJ,"$35,000 to $39,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,63,Female,High school graduate,OH,"Less than $14,999",50 to 65,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,71,Male,High school graduate,KY,"$125,000 to $149,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,43,Female,Masters degree,NJ,"$95,000 to $99,999",35 to 50,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,42,Male,Masters degree,IL,"$200,000 to $249,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,18,Female,Completed some high school,NY,"$125,000 to $149,999",20 or less,White
Donald Trump,"Yes, I will vote",Registered,61,Female,Completed some high school,ME,"$55,000 to $59,999",50 to 65,White
Donald Trump,Not sure,Registered,24,Female,High school graduate,OR,"$50,000 to $54,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,75,Female,"Completed some college, but no degree",TN,"Less than $14,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,29,Female,Masters degree,VA,"$175,000 to $199,999",21 to 35,White
Joe Biden,"Yes, I will vote",Registered,42,Female,Masters degree,VA,"$125,000 to $149,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,79,Male,Associate Degree,NJ,"$45,000 to $49,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,65,Male,"College Degree (such as B.A., B.S.)",CT,"$100,000 to $124,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,41,Male,High school graduate,NJ,"$25,000 to $29,999",35 to 50,"Black, or African American"
Joe Biden,"Yes, I will vote",Registered,72,Female,Doctorate degree,WI,"$95,000 to $99,999",65 to 80,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,48,Male,Associate Degree,IA,"$90,000 to $94,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,48,Male,"College Degree (such as B.A., B.S.)",AR,"$125,000 to $149,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,68,Female,"Completed some college, but no degree",AR,"$30,000 to $34,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,47,Female,Masters degree,NJ,"$150,000 to $174,999",35 to 50,"Black, or African American"
Donald Trump,"Yes, I will vote",Registered,67,Female,Doctorate degree,CA,"$50,000 to $54,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,68,Female,High school graduate,CA,"$30,000 to $34,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,57,Male,"College Degree (such as B.A., B.S.)",NJ,"$175,000 to $199,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,58,Male,Masters degree,PA,"$250,000 and above",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,79,Male,High school graduate,PA,"$40,000 to $44,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,48,Female,Masters degree,GA,"$55,000 to $59,999",35 to 50,White
Joe Biden,"Yes, I will vote",Registered,62,Male,Masters degree,MD,"$60,000 to $64,999",50 to 65,White
Joe Biden,"Yes, I will vote",Registered,55,Female,"College Degree (such as B.A., B.S.)",VA,"$95,000 to $99,999",50 to 65,White
Donald Trump,"Yes, I will vote",Registered,40,Male,Masters degree,IL,"$175,000 to $199,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,25,Female,Completed some high school,TN,"$35,000 to $39,999",21 to 35,White
Donald Trump,"Yes, I will vote",Registered,69,Female,Associate Degree,NJ,"$95,000 to $99,999",65 to 80,White
Donald Trump,"Yes, I will vote",Registered,38,Male,"College Degree (such as B.A., B.S.)",TX,"$150,000 to $174,999",35 to 50,White
Donald Trump,"Yes, I will vote",Registered,68,Female,"College Degree (such as B.A., B.S.)",VA,"$35,000 to $39,999",65 to 80,White
Joe Biden,"Yes, I will vote",Registered,29,Male,Completed some high school,MS,"$30,000 to $34,999",21 to 35,Other race
